No.,Title,Price,Link
ging Security in Chemical Industrial Areas,"167,460원",http://www.kyobobook.co.kr/product/detailViewEng.laf?ejkGb=BNT&mallGb=ENG&barcode=9783030064730&orderClick=LAG&Kc=
2,National Industrial Security Program,"12,480원",http://www.kyobobook.co.kr/product/detailViewEng.laf?ejkGb=BNT&mallGb=ENG&barcode=9781693677120&orderClick=LAG&Kc=
3,"Cyber Security Standards, Practices and Industrial Applications","254,950원",http://www.kyobobook.co.kr/product/detailViewEng.laf?ejkGb=BNT&mallGb=ENG&barcode=9781609608514&orderClick=LAG&Kc=
4,Defense Industrial Base Protection and Homeland Security,"142,490원",http://www.kyobobook.co.kr/product/detailViewEng.laf?ejkGb=BNT&mallGb=ENG&barcode=9781598889949&orderClick=LAG&Kc=
5,Industrial Network Security,"57,970원",http://www.kyobobook.co.kr/product/detailViewEng.laf?ejkGb=BNT&mallGb=ENG&barcode=9781597496452&orderClick=LAG&Kc=
6,Guide to Industrial Control Systems (ICS) Security,"14,480원",http://www.kyobobook.co.kr/product/detailViewEng.laf?ejkGb=BNT&mallGb=ENG&barcode=9781548557782&orderClick=LAG&Kc=
7,Handbook of Research on Information and Cyber Security in the Fourth Industrial Revolution,"451,060원",http://www.kyobobook.co.kr/product/detailViewEng.laf?ejkGb=BNT&mallGb=ENG&barcode=9781522547631&orderClick=LAG&Kc=
8,Knowledge Transfer By Industrial Security Personnel At A United States-Based Aerospace Company,"29,370원",http://www.kyobobook.co.kr/product/detailViewEng.laf?ejkGb=BNT&mallGb=ENG&barcode=9781517205898&orderClick=LAG&Kc=
9,National Industrial Security Program,"23,720원",http://www.kyobobook.co.kr/product/detailViewEng.laf?ejkGb=BNT&mallGb=ENG&barcode=9781508469940&orderClick=LAG&Kc=
10,Handbook for Self-Assessing Security Vulnerabilities and Risk of Industrial Control Systems on DOD Installations,"19,020원",http://www.kyobobook.co.kr/product/detailViewEng.laf?ejkGb=BNT&mallGb=ENG&barcode=9781503039278&orderClick=LAG&Kc=
11,NIST Special Publication 800-82 Revision 1 Guide to Industrial Control Systems Security,"24,960원",http://www.kyobobook.co.kr/product/detailViewEng.laf?ejkGb=BNT&mallGb=ENG&barcode=9781502473233&orderClick=LAG&Kc=
12,NIST Special Publication 800-82 Guide to Industrial Control Systems Security,"24,960원",http://www.kyobobook.co.kr/product/detailViewEng.laf?ejkGb=BNT&mallGb=ENG&barcode=9781502473165&orderClick=LAG&Kc=
13,Army Regulation AR 380-49 Industrial Security Program 20 March 2013,"16,140원",http://www.kyobobook.co.kr/product/detailViewEng.laf?ejkGb=BNT&mallGb=ENG&barcode=9781484131664&orderClick=LAG&Kc=
14,DoD 5220.22-R Industrial Security Regulation,"35,240원",http://www.kyobobook.co.kr/product/detailViewEng.laf?ejkGb=BNT&mallGb=ENG&barcode=9781482348552&orderClick=LAG&Kc=
15,DoD Industrial Security Regulation,"35,240원",http://www.kyobobook.co.kr/product/detailViewEng.laf?ejkGb=BNT&mallGb=ENG&barcode=9781482348415&orderClick=LAG&Kc=
16,National Industrial Security Program,"29,010원",http://www.kyobobook.co.kr/product/detailViewEng.laf?ejkGb=BNT&mallGb=ENG&barcode=9781482069624&orderClick=LAG&Kc=
17,"U.S. Department of Homeland Security Contract and Grant Spending and the Supporting Industrial Base, 2004-2013","73,450원",http://www.kyobobook.co.kr/product/detailViewEng.laf?ejkGb=BNT&mallGb=ENG&barcode=9781442240162&orderClick=LAG&Kc=
18,"National Industrial Security Program Operating Manual (Incorporating Change 2, May 18, 2016)","26,800원",http://www.kyobobook.co.kr/product/detailViewEng.laf?ejkGb=BNT&mallGb=ENG&barcode=9781365711831&orderClick=LAG&Kc=
19,The Scope and Limitation of Industrial Security,"51,060원",http://www.kyobobook.co.kr/product/detailViewEng.laf?ejkGb=BNT&mallGb=ENG&barcode=9781258375591&orderClick=LAG&Kc=
20,Contractor and Industrial Security Program Operating Procedures,"29,080원",http://www.kyobobook.co.kr/product/detailViewEng.laf?ejkGb=BNT&mallGb=ENG&barcode=9781249198512&orderClick=LAG&Kc=
